广东,#genre#
东莞公共,http://stream.sun0769.com/dgrtv1/mp4:tv2/index.m3u8?channel=1&t=1580441535&ttl=28800&key=6ba4d265e5f29c98c821b38215322bd2&wsSession=04cf56f06f73ec6f00b575b3-158044155061172&wsIPSercert=573590fe678ba750bcf3d90d470222ef&wsMonitor=0
汕头新闻综合,rtsp://183.58.12.204/PLTV/88888895/224/3221227425/10000100000000060000000003869066_0.smil?icpid=88888888
汕头经济生活,rtsp://183.58.12.204/PLTV/88888895/224/3221227428/10000100000000060000000003869069_0.smil?icpid=88888888
汕头公共频道,rtsp://183.58.12.204/PLTV/88888895/224/3221227415/10000100000000060000000003869079_0.smil?icpid=88888888
湛江综合,http://dslive.grtn.cn/zjzh/sd/live.m3u8#http://120.237.237.11:8000/public/HDCH01/playlist.m3u8
湛江公共,http://120.237.237.11:8000/public/HDCH02/playlist.m3u8
珠海综合,http://dslive.grtn.cn/zhzh/sd/live.m3u8
珠海公共,http://hnhbxww.com/live.php?http://mlive1.91kds.cn/b9/cutv.m3u8?ip=gdzh&id=HtyU8ou#http://120.237.237.11:8000/public/HDCH02/playlist.m3u8
茂名综合,http://dslive.grtn.cn/mmzh/playlist.m3u8#http://125.88.17.7:800/hls-live/livepkgr/_definst_/mmzh/mmzh.m3u8
茂名公共,http://125.88.17.7:800/hls-live/livepkgr/_definst_/mmgg/mmgg.m3u8
电白综合,http://gddb.chinashadt.com:1935/live/video1.stream/playlist.m3u8#http://gddb.chinashadt.com:1935/live/video1.stream/chunklist_w138579333.m3u8
电白视窗,http://gddb.chinashadt.com:1935/live/video2.stream/playlist.m3u8
清远综合,http://stream1.0763f.com/qyzh/sd/live.m3u8
清远公共,http://stream1.0763f.com/qygg/sd/live.m3u8
清新综合,http://hls.wiseqx.com/live/qxzh.m3u8
清新公共,http://hls.wiseqx.com/live/qxgg.m3u8

揭阳综合,http://livejieyang.chinamcache.com/live/zb01.m3u8#http://dslive.grtn.cn/jyzh/sd/live.m3u8
揭阳公共,http://livejieyang.chinamcache.com/live/zb02.m3u8
普宁台,http://hnhbxww.com/live.php?http://mlive1.91kds.cn/b9/itouchtv.m3u8?id=gdjypn1
韶关综合,https://www.sgmsw.cn/videos/tv/201805/1308/SB05RIYZOU8JR418AUQOF62CAJQ08D0E/hls/live.m3u8#http://dslive.grtn.cn/sgxwzhHD/sd/live.m3u8
韶关公共,https://www.sgmsw.cn/videos/tv/201805/1308/9P424TC5M000AFO13CXK6GN6BOA889D2/hls/live.m3u8
梅州综合,http://pili-live-rtmp.tvliving.gdmztv.com/meizhou-tvliving/mztv1.m3u8#rtmp://pili-live-rtmp.tvliving.gdmztv.com/meizhou-tvliving/mztv1
梅州公共,rtmp://pili-live-rtmp.tvliving.gdmztv.com/meizhou-tvliving/mztv2
丰顺综合,https://p2.weizan.cn/1033266991/776920781637802678/live.m3u8
丰顺影视,https://p2.weizan.cn/1033266991/748750643185685521/live.m3u8
潮州综合,http://live.zscz0768.com/live/zhpd.m3u8#http://dslive.grtn.cn/czzh/sd/live.m3u8
潮州公共,http://live.zscz0768.com/live/ggpd.m3u8
潮安综合,http://chaoan.chaoantv.com:8278/live/chaoanzongyi.m3u8#http://chaoan.chaoantv.com:8278/zongyi_1028/playlist.m3u8
潮安影视,http://chaoan.chaoantv.com:8278/live/chaoanyingshi.m3u8#http://chaoan.chaoantv.com:8278/h_yingshi_1028/playlist.m3u8
河源综合,http://tmpstream.hyrtv.cn/xwzh/sd/live.m3u8
河源公共,http://tmpstream.hyrtv.cn/hygg/sd/live.m3u8
汕尾综合,http://24tl.qingk.cn/live/swsjzb1.flv#http://dslive.grtn.cn/swzh/sd/live.m3u8
汕尾公共,http://24tl.qingk.cn/live/swsjzb2.flv
云浮综合,http://dslive.grtn.cn/yfzh/sd/live.m3u8
深圳卫视,http://cctvalih5ca.v.myalicdn.com/wstv/shenzhen_2/index.m3u8
